D,T,O,H,L,C,V
20190502,10:05:00,163.6700000,164.4200000,163.6700000,164.1100000,320090
20190502,10:10:00,164.0600000,164.2500000,163.7900000,163.9700000,581700
20190502,10:15:00,163.9400000,164.8700000,163.9000000,164.6900000,549380
20190502,10:20:00,164.6500000,165.1500000,164.6500000,164.9800000,646400
20190502,10:25:00,164.9600000,165.8000000,164.8700000,165.7600000,721610
20190502,10:30:00,165.7800000,165.8200000,165.2500000,165.5700000,606120
20190502,10:35:00,165.5400000,165.8800000,165.5200000,165.8200000,300750
20190502,10:40:00,165.8200000,165.8200000,165.5900000,165.6800000,260060
20190502,10:45:00,165.6800000,165.7500000,165.3800000,165.4500000,206040
20190502,10:50:00,165.4500000,165.8300000,165.4500000,165.8100000,267590
20190502,10:55:00,165.8400000,166.2800000,165.8400000,165.9500000,1072340
20190502,11:00:00,165.9400000,166.0000000,165.7800000,166.0000000,97660
20190502,11:05:00,166.0000000,166.0000000,165.6000000,165.7800000,202050
20190502,11:10:00,165.7400000,165.9900000,165.5700000,165.8800000,320380
20190502,11:15:00,165.8700000,165.9000000,165.7900000,165.8800000,243490
20190502,11:20:00,165.8800000,166.0000000,165.8000000,165.9900000,395300
20190502,11:25:00,165.9500000,166.1000000,165.9500000,166.0900000,193180
20190502,11:30:00,166.0900000,166.1000000,166.0200000,166.0500000,91830
20190502,11:35:00,166.0500000,166.1000000,165.9100000,166.0200000,247560
20190502,11:40:00,166.0500000,166.1000000,165.9200000,165.9900000,142740
20190502,11:45:00,165.9900000,166.1000000,165.8400000,166.0600000,165220
20190502,11:50:00,166.0900000,166.1000000,165.8900000,166.0000000,57860
20190502,11:55:00,165.9600000,166.1000000,165.9600000,166.1000000,62940
20190502,12:00:00,166.0900000,166.0900000,165.7600000,165.9000000,99620
20190502,12:05:00,165.8400000,165.9900000,165.8400000,165.9800000,104110
20190502,12:10:00,165.9800000,166.0700000,165.9100000,165.9500000,111390
20190502,12:15:00,165.9700000,166.0000000,165.8800000,165.9000000,103280
20190502,12:20:00,165.9400000,165.9800000,165.9000000,165.9700000,88340
20190502,12:25:00,165.9800000,165.9900000,165.9000000,165.9000000,62780
20190502,12:30:00,165.9000000,165.9900000,165.8900000,165.9400000,58230
20190502,12:35:00,165.9700000,166.0900000,165.9700000,166.0800000,117170
20190502,12:40:00,166.0900000,166.3500000,166.0700000,166.1900000,463340
20190502,12:45:00,166.2400000,166.2600000,166.0700000,166.1200000,141350
20190502,12:50:00,166.1200000,166.2300000,166.0800000,166.1700000,64970
20190502,12:55:00,166.1700000,166.2500000,166.1300000,166.2100000,73570
20190502,13:00:00,166.2200000,166.2900000,166.2100000,166.2500000,39570
20190502,13:05:00,166.2400000,166.3300000,166.2300000,166.2300000,142860
20190502,13:10:00,166.2500000,166.3200000,166.1700000,166.3200000,108090
20190502,13:15:00,166.2900000,166.3400000,166.2600000,166.3200000,79490
20190502,13:20:00,166.3500000,166.3700000,166.1700000,166.2200000,123090
20190502,13:25:00,166.2500000,166.3700000,166.2300000,166.2800000,86750
20190502,13:30:00,166.2500000,166.3300000,166.2300000,166.2700000,67500
20190502,13:35:00,166.2700000,166.3400000,166.2700000,166.2900000,27110
20190502,13:40:00,166.3200000,166.3400000,166.2000000,166.2100000,37460
20190502,13:45:00,166.2400000,166.2900000,166.2000000,166.2600000,65110
20190502,13:50:00,166.2300000,166.3500000,166.2300000,166.3300000,30340
20190502,13:55:00,166.3200000,166.4100000,166.3000000,166.3500000,158490
20190502,14:00:00,166.3200000,166.4200000,166.1900000,166.3600000,95470
20190502,14:05:00,166.3300000,166.3800000,166.2500000,166.3400000,26490
20190502,14:10:00,166.3400000,166.4100000,166.2900000,166.2900000,46560
20190502,14:15:00,166.3000000,166.3900000,166.2900000,166.3600000,37910
20190502,14:20:00,166.3600000,166.3800000,166.1600000,166.1600000,23900
20190502,14:25:00,166.1600000,166.1600000,166.0000000,166.1300000,72790
20190502,14:30:00,166.1200000,166.2200000,166.0600000,166.1400000,61110
20190502,14:35:00,166.1500000,166.2300000,166.1100000,166.2200000,54670
20190502,14:40:00,166.1600000,166.2800000,166.1600000,166.1700000,69850
20190502,14:45:00,166.1600000,166.4400000,166.1500000,166.4000000,281680
20190502,14:50:00,166.4000000,166.4300000,166.3100000,166.4200000,26960
20190502,14:55:00,166.4200000,166.4200000,166.3000000,166.3500000,29360
20190502,15:00:00,166.3200000,166.3600000,166.2500000,166.3500000,21110
20190502,15:05:00,166.2800000,166.3800000,166.2000000,166.3800000,62540
20190502,15:10:00,166.3600000,166.3900000,166.2800000,166.3300000,17240
20190502,15:15:00,166.2700000,166.4000000,166.2200000,166.3400000,110500
20190502,15:20:00,166.3700000,166.4400000,166.3000000,166.3900000,379230
20190502,15:25:00,166.3900000,166.4700000,166.3800000,166.4600000,162070
20190502,15:30:00,166.4100000,166.4900000,166.4000000,166.4900000,174460
20190502,15:35:00,166.4500000,166.4700000,166.2900000,166.3400000,33160
20190502,15:40:00,166.3100000,166.3300000,166.1100000,166.2400000,175810
20190502,15:45:00,166.2500000,166.3000000,166.1800000,166.2900000,47630
20190502,15:50:00,166.3000000,166.3700000,166.1100000,166.2100000,155470
20190502,15:55:00,166.1800000,166.7500000,166.0400000,166.7200000,1138590
20190502,16:00:00,166.7300000,166.7400000,166.4700000,166.4900000,218630
20190502,16:05:00,166.4900000,166.6500000,166.4300000,166.6500000,193520
20190502,16:10:00,166.6100000,166.6600000,166.5100000,166.5600000,146750
20190502,16:15:00,166.5100000,166.6800000,166.3800000,166.4200000,303170
20190502,16:20:00,166.4200000,166.5400000,166.3900000,166.4900000,119200
20190502,16:25:00,166.4600000,166.5000000,166.3600000,166.4000000,274200
20190502,16:30:00,166.3600000,166.6000000,166.3400000,166.5300000,168620
20190502,16:35:00,166.5400000,166.8500000,166.4000000,166.5700000,345980
20190502,16:40:00,166.5000000,166.7100000,166.5000000,166.5700000,154200
20190502,16:45:00,166.5800000,166.5800000,166.2700000,166.3900000,255610
20190502,16:50:00,166.3900000,166.4800000,166.1400000,166.3900000,205190
20190502,16:55:00,166.3300000,166.4000000,166.2000000,166.2700000,134460
20190502,17:00:00,166.3000000,166.3400000,166.1100000,166.1300000,157150
20190502,17:05:00,166.1100000,166.1800000,165.9300000,166.0500000,466250
20190502,17:10:00,166.0600000,166.1700000,166.0000000,166.1700000,213510
20190502,17:15:00,166.1700000,166.1700000,166.1000000,166.1700000,212540
20190502,17:20:00,166.1600000,166.4000000,166.1400000,166.3400000,120650
20190502,17:25:00,166.3600000,166.4500000,166.3300000,166.3700000,103970
20190502,17:30:00,166.3700000,166.4000000,166.1700000,166.2800000,120980
20190502,17:35:00,166.2200000,166.3900000,166.1900000,166.2800000,164020
20190502,17:40:00,166.2800000,166.3800000,166.2300000,166.3500000,68000
20190502,17:45:00,166.3800000,166.3800000,166.2600000,166.2700000,58840
20190502,17:50:00,166.2600000,166.3300000,166.2300000,166.2900000,64240
20190502,17:55:00,166.2800000,166.2800000,166.0800000,166.2700000,104300
20190502,18:00:00,166.2200000,166.2600000,166.1300000,166.1900000,22520
20190502,18:05:00,166.1900000,166.2000000,166.1000000,166.1300000,75350
20190502,18:10:00,166.1300000,166.2000000,166.1100000,166.2000000,90190
20190502,18:15:00,166.2000000,166.3500000,166.1500000,166.3500000,249960
20190502,18:20:00,166.2900000,166.3000000,165.8000000,165.8100000,371420
20190502,18:25:00,165.8100000,166.2500000,165.8000000,166.2000000,351110
20190502,18:30:00,166.1700000,166.2800000,166.0400000,166.0400000,131310
20190502,18:35:00,166.0600000,166.1900000,165.9800000,166.0100000,44600
20190502,18:40:00,166.0100000,166.2000000,166.0100000,166.1900000,206860
20190502,18:50:00,165.7100000,165.7100000,165.7100000,165.7100000,1259580
20190503,10:05:00,166.2100000,166.9800000,166.2100000,166.8300000,425620
20190503,10:10:00,166.8000000,166.8200000,166.3500000,166.5000000,290030
20190503,10:15:00,166.5200000,166.7800000,166.2200000,166.2800000,236320
20190503,10:20:00,166.3100000,166.6100000,166.1600000,166.2700000,230360
20190503,10:25:00,166.2700000,166.4300000,166.2300000,166.3300000,144580
20190503,10:30:00,166.3800000,166.4300000,166.1600000,166.3100000,112770
20190503,10:35:00,166.3100000,166.3400000,166.2000000,166.2800000,21200
20190503,10:40:00,166.2800000,166.3500000,166.2500000,166.3200000,101930
20190503,10:45:00,166.2700000,166.3500000,166.2600000,166.3400000,118680
20190503,10:50:00,166.3400000,166.3500000,166.2300000,166.2600000,30200
20190503,10:55:00,166.2800000,166.3500000,165.9100000,166.3200000,456900
20190503,11:00:00,166.3300000,166.6000000,166.3000000,166.4200000,245640
20190503,11:05:00,166.4300000,166.7800000,166.3600000,166.6700000,352940
20190503,11:10:00,166.6900000,166.7300000,166.4000000,166.6000000,208240
20190503,11:15:00,166.6000000,166.8000000,166.5000000,166.5200000,173690
20190503,11:20:00,166.5500000,166.8000000,166.5500000,166.6600000,78190
20190503,11:25:00,166.6900000,166.7500000,166.6000000,166.6300000,65500
20190503,11:30:00,166.6300000,166.6300000,166.4100000,166.4500000,189280
20190503,11:35:00,166.4900000,166.5000000,166.4000000,166.4200000,169630
20190503,11:40:00,166.4000000,166.4400000,166.2700000,166.3000000,114830
20190503,11:45:00,166.3000000,166.3300000,166.2500000,166.2800000,35000
20190503,11:50:00,166.2800000,166.5000000,166.2800000,166.4800000,262200
